courseid,coursetitle,durationinseconds,releasedate,description,assessmentstatus,iscourseretired,course-author,tag
access-2013-essentials-pt1,Access 2013 Desktop Essentials: Part 1,18231,2013-08-23T00:00:00Z,"Part 1 of 2 in the Access 2013 Desktop Essentials series. This course is designed for beginners and casual users of Microsoft Access 2013. You don't have to be an IT Pro or a developer to follow along. This course has anyone in mind who would like to be able to build a small, simple database to help track their everyday tasks and deadlines or other information that just doesn't quite work well in Excel.",None,no,Heather Ackmann,microsoft-office end-user access trainsignal microsoft access-2013 microsoft-office end-user access trainsignal microsoft access-2013
access-2013-essentials-pt2,Access 2013 Desktop Essentials: Part 2,19074,2013-08-23T00:00:00Z,"Part 2 of 2 in the Access 2013 Desktop Essentials series. This course is designed for beginners and casual users of Microsoft Access 2013. You don't have to be an IT Pro or a developer to follow along. This course has anyone in mind who would like to be able to build a small, simple database to help track their everyday tasks and deadlines or other information that just doesn't quite work well in Excel.",None,no,Heather Ackmann,microsoft-office end-user access trainsignal microsoft access-2013 microsoft-office end-user access trainsignal microsoft access-2013
active-directory-programming,Active Directory Programming for Developers,6058,2013-05-29T00:00:00Z,"Active Directory is the employee information store for businesses large and small. However, very few developers understand Active Directory well enough to leverage its capabilities. You have spent hundreds of hours learning SQL, now it’s time to spend two learning how to use Active Directory.",Live,no,Steve Evans,ldap .net directory-services security microsoft active-directory authentication developer ldap .net directory-services security microsoft active-directory authentication developer
adfs2-and-wif35,ADFS2 and WIF 3.5,17329,2011-05-31T00:00:00Z,"The course contains an introduction to Single Sign-On. An in depth explanation of the Windows Identity Foundation (WIF) and the ADFS version 2 server. In depth means: bits and bytes of the HTTP requests and responses, HttpModules, and customization. The analysis of the protocol is done with Fiddler2 and code analysis with Reflector. It also covers the Claims Language, Metadata and SAML2 partners. One module walks through some common scenarios and shows with code and configuration how to implement them.",Live,no,Paul Lemmers,adfs security microsoft developer wif adfs security microsoft developer wif
adfs-logon-server-by-example,ADFS 1 Logon Server by Example,1727,2009-11-12T00:00:00Z,This course walks you through generic ADFS v1 customization requirements (ASP.NET pipe-line with HttpModules) and DiscoverClientRealm.aspx,Live,no,Paul Lemmers,adfs security microsoft developer adfs security microsoft developer
adodotnet-fundamentals,ADO.NET Fundamentals,14813,2013-10-22T00:00:00Z,"Introduction to ADO.NET with an overview of many SqlClient objects, concurrency and transaction management overview, Transient Fault Handling Application Block, performance considerations and dealing with XML data.",Live,no,Herve Roggero,data microsoft ado.net developer data microsoft ado.net developer
ads2,Algorithms and Data Structures - Part 2,9029,2012-06-11T00:00:00Z,"In this course we will look at some advanced data structures and algorithms used in everyday applications. We will discuss the trade-offs involved with choosing each data structure and algorithm and see some real world usage examples. This is part 2 of a two-part series of courses covering algorithms and data structures. In this part we cover data sorting, string searching, sets, AVL trees and concurrency issues.",Live,no,Robert Horvick,computer-science data-structures .net algorithms developer computer-science data-structures .net algorithms developer
ads-part1,Algorithms and Data Structures - Part 1,11628,2011-08-15T00:00:00Z,"In this course we will look at the core data structures and algorithms used in everyday applications. We will discuss the trade-offs involved with choosing each data structure, along with traversal, retrieval, and update algorithms. This is part 1 of a two-part series of courses covering algorithms and data structures. In this part we cover linked lists, stacks, queues, binary trees, and hash tables.",None,no,Robert Horvick,computer-science data-structures .net algorithms developer computer-science data-structures .net algorithms developer
advanced-git,Advanced Git,3635,2011-12-31T00:00:00Z,"We learn a lot by watching other developers work, and one of the people who have made the biggest change in the way we use Git is developer Ben Hoskings. In this screencast you'll learn just what you need to know in order to understand Git's inner workings. You'll see how Ben has enhanced Git with his own scripts (you'll get a copy). You'll learn how to get out of trouble, how to plan merges and branches, how to search your repository, and what the reflog is. We've added a bonus section at the end that shows a few more crucial commands. There's a lot to know about Git, but there are only a few commands you really need to know and use daily. This 60 minute course will get you there.",None,no,Ben Hoskings,source-control peepcode developer-tools git developer source-control peepcode developer-tools git developer
advanced-ios-debugging,iOS Debugging in Xcode,15008,2013-09-06T00:00:00Z,"Whether you're new to the platform or a long time veteran, one of the skills that you will need to have when creating your iOS apps is the ability to successfully debug your code. This course covers all of the various ways to organize, debug, and interrogate your code so that you can make your iOS app ready for deployment in no time. In addition to covering the fundamentals, we will be discussing several advanced tips and tricks that can help you jumpstart your debugging experience.",Live,no,Matthew Kruczek,ios xcode debugging apple developer mobile ios xcode debugging apple developer mobile
advanced-machine-learning-encog,Advanced Machine Learning With ENCOG,15076,2013-11-27T00:00:00Z,"Are you worried about your neural network model prediction accuracy? Are you not sure about your neural network model selection for your machine learning problem? This course will introduce you to more advanced topics in machine learning. The previous introductory course, ""Introduction to Machine Learning with ENCOG 3,"" laid out a solid foundation of machine learning and neural networks. This course will build upon that foundation for more advanced machine learning implementations. In this course, you will learn about various neural network optimization techniques to overcome the problems of underfitting and overfitting and to create more accurate predictive models. This course will also provide an overall picture of various neural network architectures and reasons for their existence. This course will be focused towards implementation of various supervised feed forward and feedback networks. During the whole course, we will be using open source machine learning framework ENCOG to implement various concepts discussed in this course. Although the implementations in this course are ENCOG-based, concepts discussed in this course are widely applicable in other frameworks or even in custom development.",Live,no,Abhishek Kumar,programming-languages computer-science encog machine-learning developer programming-languages computer-science encog machine-learning developer
advanced-unit-testing,Advanced Unit Testing,10893,2013-04-15T00:00:00Z,"This course teaches you various advanced techniques for making unit tests more robust and easier to maintain. It assumes that you have prior experience with unit testing. You'll learn how to make the Arrange and Assert parts of your tests easier to read and maintain, as well as how to model unit tests to match the System Under Test, and how to make the System Under Test easier to unit test. Throughout the course you will see lots of code examples in C#.",Live,no,Mark  Seemann,test-driven-development moq developer-tools unit-testing xunit.net software-practices developer c# test-first test-driven-development moq developer-tools unit-testing xunit.net software-practices developer c# test-first
adv-cpp,C++ Advanced Topics,20745,2012-03-08T00:00:00Z,"Once you know the basic of C++ syntax and what the Standard Library offers you, it’s time to establish whether you’re writing good code or not. Modern C++ is expressive, readable, fast, and secure. In most cases the faster thing to do is also the easier thing to do and the safer thing to do – no tradeoffs! In this course you’ll draw on your C++ Fundamentals knowledge to explore a number of ways to ensure your applications are implemented in Modern C++, not C-With-Classes or other old-style idioms. You’ll take advantage of the Standard Library and write code that is future proof and safe.",Live,no,Kate Gregory,programming-languages lambdas c++ algorithms developer programming-languages lambdas c++ algorithms developer
adv-orchard,Advanced Orchard,15178,2012-04-06T00:00:00Z,"This course will show you how to build a custom Orchard module, from the initial creation of the module all the way through publishing it to the Orchard Gallery. Along the way we'll learn a lot of concepts and techniques for Orchard module development. The topic of our module will be Movies. By the end of the course, we'll be able to enter, edit and view Movie content items in Orchard. We'll also be able to enter Actors with a many-to-many relationship to movies. And we'll implement some advanced features like importing movies from an external service, and automatically displaying similar movies to the user based on a Lucene search.",Live,no,Kevin Kuebler,content-management-system web microsoft developer asp.net orchard content-management-system web microsoft developer asp.net orchard
adv-sql-queries-oracle-sql-server,Advanced SQL Queries in Oracle and SQL Server,15947,2013-10-31T00:00:00Z,"This course provides an overview of the recent additions to the SQL language that have been added over the last few years, but that may have slipped under your radar. We will describe Analytic Functions, extensions to GROUP BY, the WITH Clause (Oracle's Subquery Factoring Clause/SQL Server's Common Table Expressions), the PIVOT and UNPIVOT Features, the MERGE Statement and, finally, the PARTITION BY/RIGHT OUTER JOIN syntax.",Live,no,Scott Hecht,sql data admin oracle microsoft sql-server sql data admin oracle microsoft sql-server
adv-win-debug-part-1,Advanced Windows Debugging - Part 1,7609,2011-11-17T00:00:00Z,This course is a deep dive into advanced debugging on Windows. Learn how to use the powerful Debugging Tools for Windows debuggers as well as the internals of key Windows components to reduce the amount of time to resolution for tough bugs.,Live,no,Mario Hewardt,developer-tools debugging windows microsoft developer developer-tools debugging windows microsoft developer
adv-win-debug-part-2,Advanced Windows Debugging - Part 2,8293,2011-12-06T00:00:00Z,This is Part II of the Advanced Windows Debugging course - a deep dive into advanced debugging on Windows. Learn how to use the powerful Debugging Tools for Windows debuggers as well as the internals of key Windows components to reduce the amount of time to resolution for tough bugs.,Live,no,Mario Hewardt,developer-tools debugging windows microsoft developer developer-tools debugging windows microsoft developer
agile-estimation,Agile Estimation,5568,2012-06-07T00:00:00Z,"We’re agile, so we don’t have to estimate and have no deadlines, right? Wrong! This course will dive into the problem with estimation in projects today and then a complete overview of the concept of agile estimation and the notion of re-estimation. We’ll learn about user stories, story points, planning poker , product backlog, team velocity, how to apply them all to estimation and iterative re-estimation. We will then take an alternative approach and look at using real metrics to limit the guesswork in estimating and still run a team that produces predictably and reliably. The course will round out with a discussion on how to “sell” the concept of Agile Estimation in various environments such as consulting or fixed cost projects. Upon completion of this course you will be able to perform Agile Estimation in your organization.",Live,no,Stephen Forte,scrum estimation kanban agile software-practices developer xp scrum estimation kanban agile software-practices developer xp
agile-families-techniques-living-change,Agile Families: Techniques for Living with Change,11423,2013-11-29T00:00:00Z,"Learn techniques for reflecting and improving with your family using Family vNext, the system based on agile methods the Starr family has evolved over 9 years of using agile practices at home. Borrowing from inspirations as diverse as computer programming, Winston Churchill, astronauts, contemporary organizational dynamics, and lava lamps, the Starrs provide a look into a world where familes face the inevitable change of today's life together, and get chores done in the process.",Live,no,David Starr,scrum admin agile software-practices developer scrum admin agile software-practices developer
agile-release-management,Agile Release Management,5528,2013-06-17T00:00:00Z,"In this course you will learn how to establish a product life cycle using agile release management. You will be taken through all the necessary steps including transition from a less than agile world, enterprise and release planning, mapping of roles and stakeholder management. This course is targeted towards agile practitioners in managing roles.",Live,no,Jan-Erik Sandberg,scrum agile release-management software-practices developer scrum agile release-management software-practices developer
agile-team-practice-fundamentals,Agile Team Practices with Scrum,13504,2010-04-15T00:00:00Z,"This course is much different than most of the other courses in the Pluralsight On-Demand! library. As a course focused purely on software methodology and team processes, it doesn't contain any coding demos or samples for download. In classroom environments, this material is complimented with a lot of discussion, what-if scenarios, and group exercises. This course is a great way to introduce Agile Software Development practices to your team or organization. In addition to learning Scrum, students learn effective techniques for managing Agile teams and projects. Students and teams come away with a solid foundation to begin executing their first Scrum Sprint. This online material is offered here primarily as reference material for customers who have already taken the instructor-led version of this course. To dramatically improve your team's Agility, consider booking an instructor-led course that provides the ideal experience to help you deliver software iteratively and incrementally.",Live,no,David Starr,application-lifecycle-management scrum agile software-practices developer application-lifecycle-management scrum agile software-practices developer
alm-for-developers,ALM for Developers with Visual Studio 2012,16264,2012-09-24T00:00:00Z,"This course covers Microsoft's Application Lifecycle Management (ALM) tooling from the perspective of a software developer. Topics include using TFS to minimize the impact of interruptions, unit testing, the Fakes Framework, Coded UI tests, code reviews, architecture tools and modeling, SQL Server database development, requirements management and customer feedback.",Live,no,Benjamin Day,test-driven-development team-foundation-server visual-studio-2012 developer-tools coded-ui-testing unit-testing microsoft tfs-2012 visual-studio software-practices developer test-driven-development team-foundation-server visual-studio-2012 developer-tools coded-ui-testing unit-testing microsoft tfs-2012 visual-studio software-practices developer
alm-fundamentals,ALM with TFS 2012 Fundamentals,20057,2012-09-05T00:00:00Z,"Team Foundation Server (TFS) is more than just version control! This course provides an overview of the Application Lifecycle Management (ALM) tooling that's available using Team Foundation Server 2012. We'll start with version control and move on to cover TFS builds, project planning and project management using TFS Work Items. Along the way, we'll also discuss the features of TFS Source Control including branching and merging and also how to customize TFS's work items and automated build features.",Live,no,Benjamin Day,team-foundation-server visual-studio-2012 application-lifecycle-management developer-tools microsoft visual-studio software-practices developer version-control team-foundation-server visual-studio-2012 application-lifecycle-management developer-tools microsoft visual-studio software-practices developer version-control
android-4whatsnew,Android 4.0 New Features,15411,2012-04-24T00:00:00Z,"Android 4.0 includes a number of new developer features that improve the ability for applications to support a wide variety of devices and enhance developer productivity. In this course we will exam many of these new features including Android user interface Fragments, the ActionBar, how to detect network availability, working with peer-to-peer network communications, and using the new Calendar API.",Live,no,Jim Wilson,android-4.0 android developer mobile android-ice-cream-sandwich android-4.0 android developer mobile android-ice-cream-sandwich
android-actionbar,Improving User Interaction with the Android ActionBar,9339,2012-09-04T00:00:00Z,"The ActionBar incorporates a variety of previously disparate user interaction concepts into a single control. The ActionBar provides one-stop shopping for menu management, home and back behavior, tabbed displays, screen layout adaptability, and many more user interaction concepts. In this course we look at how to provide a rich user experience by taking full advantage of the ActionBar in your apps.",Live,no,Jim Wilson,android-4.0 android developer mobile android-ice-cream-sandwich android-4.0 android developer mobile android-ice-cream-sandwich
android-beginner-app-inventor,Learning to Build Apps with App Inventor,9554,2013-03-18T00:00:00Z,"Did you know you could create Android applications that you can even publish in the Google Play store without writing a line of code? Don't know Java, don't know C#, never programmed before? No problem! In this course, you will learn how to use MIT's App Inventor to create four fully functional apps without writing any code. Along the way, you'll learn some basic programming concepts that will help you gain the skills you need to be able to program in a language like Java. We'll start off by learning about App Inventor and how to get it setup. Next, we'll jump right in and create the follow four real applications: (1) a number guessing game; (2) a simple drawing program; (3) an RPG character creator; (4) Irritated Dolphins (our Angry Birds-like game). If you are looking to get started with Android programming, or programming in general, this course will offer you a gentle introduction to many Android and basic programming concepts and make it fun and easy to learn. And if you are already an experienced developer, but are interested in checking out App Inventor, you'll probably find this course useful and fun as well. This course is the 2nd course in a four part series on beginner Android development, where we go from not knowing how to code to building real Android application in Java.",Live,no,John Sonmez,beginner-programming kids app-inventor game-programming android developer mobile beginner-programming kids app-inventor game-programming android developer mobile
android-beginner-java-introduction,Android Beginner Series: Just Enough Java,12097,2013-04-04T00:00:00Z,"Want to create an Android application, but you don't want to learn Java first? Perhaps you already know some Java, but you've never build a complete Android application before. Either way, this course has you covered! In this course, you will learn the basics of Java and Android while you create a real working Android application. This course is the third course in a 4 part series on beginning Android development, but you don't need to watch the other courses to understand this one. As long as you have some basic programming knowledge, you should be able to follow along with this course and build your first Android application using Java and Eclipse. In this course we'll alternate between learning and doing as we set out to build a note taking application for Android. We'll start off covering everything you need to know about getting setup to develop an Android application in Java using Eclipse. Then we'll create our Note Taker application step by step, clearly explaining each step as we go and introducing Java concepts along the way. If you are looking for a new and fun way to learn Java while building an Android application, or you are just looking to maximize your time, by learning two topics at the same time, this course might be just what you are looking for.",Live,no,John Sonmez,eclipse beginner-programming java android developer mobile eclipse beginner-programming java android developer mobile
android-beginner-platform-overview,Android Beginner Series: Understanding Android,7526,2013-03-08T00:00:00Z,"Have you wanted to learn about Android development, but perhaps you don't know where to start? Perhaps you are brand new to the world of programming and want to learn how to program quickly while doing something fun like developing an Android app? If so, this brand new course series might be just what you are looking for. This is the first course in a series of 4 courses designed to take you from knowing nothing about Android and very little about programming in general to building your own Android apps and games. Here is a breakdown of the courses: course 1: Understanding Android - this course; course 2: Creating Android Apps Without Code Using App Inventor; course 3: Just Enough Java To Build An Android App; course 4: Building a Simple Game In Android. In this first course, we take a look at the very basics of Android and learn exactly what Android is and how it works. This course will go over the design and history of Android. Then we'll take a look at what exactly an operating system is so that we can better understand the Android operating system and how it works. After that we'll go over Android applications and exactly what makes them unique. And we'll finish up the course by talking about all the different ways you can develop Android applications and how the Android app markets work. By the time you finish this course, you should have a solid foundation in Android fundamentals and be ready to start learning how to develop Android applications in the upcoming courses in this series. Whatever your level of programming experience, this course series will get you building your own apps and games in Android quickly, and we'll have fun doing it. And even if you are already an Android developer, you may find the in depth understanding of how Android works that you will learn from this course valuable.",Live,no,John Sonmez,dalvik beginner-programming app-inventor java android developer mobile dalvik beginner-programming app-inventor java android developer mobile
android-dotnet-developers-adopting-mindset,Android for .NET Developers: 3 Adopting The Android Mindset,12436,2013-08-14T00:00:00Z,"Creating high-quality, successful Android apps requires much more than just learning a list of features, you must learn to think like an Android developer. This course teaches you how to do exactly that. It moves you beyond simply leveraging your existing skills to creating user-oriented Android apps that take advantage of the Android platform’s unique capabilities. The specific behaviors and usage patterns of mobile users are discussed with a focus on the Android classes and features that facilitate the building of rich, user-oriented Android apps that meet and exceed user expectations.",Live,no,Jim Wilson,eclipse java .net android developer mobile android-ice-cream-sandwich eclipse java .net android developer mobile android-ice-cream-sandwich
android-dotnet-developers-android-studio,Android for .NET Developers: 2 Building Apps With Android Studio,11096,2013-06-27T00:00:00Z,This course provides an introduction to building Android applications using Android Studio. The course focuses on those aspects of application development that are familiar to developers with desktops or web-based application experience. The course takes you through the components of a user interface along with how to manage their appearance and layout. Detailed coverage of multi-Activity applications and exchanging information between Activities is included. Special attention is paid to Android resource management and avoiding the common pitfalls experienced by developers who are new to the platform.,Live,no,Jim Wilson,eclipse java .net android developer mobile eclipse java .net android developer mobile
android-dotnet-developers-getting-started,Android for .NET Developers: 1 Getting Started,12756,2013-05-24T00:00:00Z,"This course provides an overview of the tools used in the Android development process including the newly released Android Studio. The course provides step-by-step coverage of the tools installation process, their setup, and the respective roles of each. This course introduces the tools used in Android development from the perspective of someone with a .NET development background but is appropriate for anyone with software development experience who is interested in learning Android application development. Parallels are drawn between Visual Studio equivalent features where possible. In those cases where the Android tools have no Visual Studio equivalent, the reason for the tool’s need in the Android space is discussed.",Live,no,Jim Wilson,dalvik-vm eclipse java .net avd android developer mobile dalvik-vm eclipse java .net avd android developer mobile
android-dotnet-developers-understanding-android-platform,Android for .NET Developers: 4 Understanding The Android Platform,12188,2013-10-14T00:00:00Z,This course delves into the unique features of the Android platform and how those features affect the way apps are created. The focus is on using techniques that embrace the Android platform’s capabilities and make your app function as a natural extension of the platform. We look in detail at the role of Context and how it affects your application. We explore background processing with Services and responding to changes in device state with Broadcast Receivers. Finally we examine notifications and how to use them to effectively provide information to the user and how to launch Activities directly from a notification message.,Live,no,Jim Wilson,eclipse android-4.0 java .net android developer mobile android-ice-cream-sandwich eclipse android-4.0 java .net android developer mobile android-ice-cream-sandwich
android-dreams-widgets-notifications,"Android Dreams, Widgets and Notifications: Life Outside Your App",12051,2013-11-19T00:00:00Z,"Sometimes the best app experiences occur completely outside of your app. Users must often switch back and forth between a variety of tasks, which they can do much more effectively if they can interact with each app’s information without having to explicitly open the app. This course teaches you how to provide this incredible out-of-app user experience using Android dreams, widgets, and notifications. Dreams allow your app to display information or provide entertainment while the device is docked or charging. Widgets allow your app to provide an interactive user experience directly on the Android home screen. With notifications your app can provide information to the user through the status bar even when the user is using a different app; notifications can also gather information from the user and, when necessary, allow the user to jump directly to the appropriate screen within your app right from the status bar.",Live,no,Jim Wilson,android-ics google android-4.0 android developer mobile android-ice-cream-sandwich android-ics google android-4.0 android developer mobile android-ice-cream-sandwich
android-fragments,Improving User Interface Design with Android Fragments,10890,2012-12-11T00:00:00Z,"Available to all Android platforms, 1.6 and above, Fragments now replace Activities as the primary canvas for UI design. Fragments address a number of key UI design issues. In this course we discuss how to use Fragments to improve your app’s adaptability to device differences, provider better UI modularization, enhance your app’s appearance, and improve your app’s usability by creating more context-aware user experiences.",Live,no,Jim Wilson,android-ics android-4.0 android developer mobile android-ice-cream-sandwich android-ics android-4.0 android developer mobile android-ice-cream-sandwich
android-intents,Android Programming with Intents,15279,2011-11-15T00:00:00Z,"Three of the core components of an application - activities, services, and broadcast receivers - are activated through messages, called intents. Intent messaging is a facility for late run-time binding between components in the same or different applications. In this course you will learn how to work effectively with and capitalize on the many capabilities of the Android platform provided through intents.",Live,no,Jim Wilson,eclipse java android developer mobile eclipse java android developer mobile
android-intro,Introduction to Android Development,20672,2011-04-12T00:00:00Z,This course covers beginning level Android development from the perspective of a .NET developer. In this course you will learn to create a simple multi-screen Android application that can utilize menus and preferences and learn to deploy that application to the Android marketplace.,Live,no,John Sonmez,java android developer mobile java android developer mobile
android-layout-fundamentals,Android Layout Fundamentals,5950,2014-01-13T00:00:00Z,"Android has four basic layout classes: LinearLayout, RelativeLayout, FrameLayout and TableLayout. How do they work? How to decide when to use which? This course goes into the details of each class, explains their various attributes, then demonstrates various tools and techniques to examine and optimize your layouts.",Live,no,Chiu-Ki Chan,ui-design css google android developer mobile ui-design css google android developer mobile
android-location-based-apps,Android Location-Based Apps,12798,2013-03-11T00:00:00Z,"Virtually all Android devices now include the ability to determine the user’s location. The overwhelming majority of apps can benefit from incorporating location information as knowing a user’s location allows your app to better personalize the user experience. In this course we cover the wide range of location capabilities of the Android platform including the different ways to determine the user’s location, the performance and power usage implications of different location strategies, how to translate the raw location coordinates into meaningful street addresses, and much more.",Live,no,Jim Wilson,android-ics eclipse android-4.0 java gps android developer mobile android-ice-cream-sandwich android-ics eclipse android-4.0 java gps android developer mobile android-ice-cream-sandwich
android-photo-video-programming,Android Photo and Video Programming,16104,2013-04-19T00:00:00Z,"Android devices allow people to have access to a high-quality photo and video camera at all times. This course teaches you how to capitalize on the Android device’s camera capabilities and incorporate them into your app. Topics covered include leveraging the built-in camera app, embedding a camera preview window in your app’s UI, capturing still photos, capturing video, attaching GPS location data to your photos, determining camera capabilities, configuring the camera, camera zoom, Android Gallery integration, accessing the Media Store, showing thumbnails, and much more.",Live,no,Jim Wilson,android-ics eclipse android-4.0 java android developer mobile android-ice-cream-sandwich android-ics eclipse android-4.0 java android developer mobile android-ice-cream-sandwich
android-processes-threads,Android Processes and Threads,7191,2013-10-04T00:00:00Z,"At its core, Android is built to take advantage of multi-tasking operations, be it from separate applications or different operations within the same app. In addition to providing built in support for working with threads, Android provides a solid framework for inter-process communication and puts a twist on the way app processes are used. In this course you will learn about the way Android utilizes processes, how to take advantage of special app sharing features and explore the variety of ways in which threads can be used.",Live,no,Larry Schiefer,threads multi-tasking eclipse ipc java processes android developer mobile threads multi-tasking eclipse ipc java processes android developer mobile
android-services,Android Async Programming and Services,10988,2011-08-22T00:00:00Z,"In this course you will learn how to use Android services and asynchronous processing to create applications that provide a more responsive user experience. Topics covered include Android Services, background processing, threading, asynchronous tasks, Started Services, Foreground Services, Notifications, Android Service lifecycle, and ExecutorService.",Live,no,Jim Wilson,async threading java android developer mobile async threading java android developer mobile
angular-best-practices,Angular Best Practices,18190,2013-10-25T00:00:00Z,"In this course you will take your AngularJS development to the next level by taking a deeper look at developing web applications with Angular. Building on the topics taught in the Angular Fundamentals course, you will take a deeper dive into the components of Angular: Controllers, Services, Filters, Directives, and Views. You will learn techniques that will help you in building applications bigger than tiny sample apps, such as organizing your code, breaking down a page into components, and communicating with the server. You will learn many patterns for more effective development such as patterns for cross-component communication, and patterns for creating an actual model layer. By the end of this course you should feel comfortable embarking upon a medium to large size application in AngularJS.",Live,no,Joe Eames,spa angular-js web developer javascript spa angular-js web developer javascript
